filename,label,transcription
audio_710.wav,1.0, (*s heed ms bonito pay hine� navanteks
audio_1265.wav,1.0," my favorite hobbies, cultivation of plants such as gardening, offers a rewarding experience with a gardening. i can gain immense of plants to plant and the flowers and herbs to unwaistables."
audio_1114.wav,1.5, my goal is to become an electrical employee and also i am studying the electronic engineering to become an electrical engineer. i have to study about electrical and to achieve my goal is to have a electronic electronics and we have prepared the topics thoroughly to reach the goals.
audio_946.wav,1.5," the playground looks like very clear and neat as there are a lot of colorful things like a basket ball coat. for playing or we can do ginger, swing on swings. group of friends together play very well and they love each other."
audio_1127.wav,2.0," my goal is to bring my parents to live with me. and this is the only goal i have in my life. and it's long term goal or short term goal, whatever you want to say. my parents say to me to study far from home because of my future. so that's my responsibility for their happiness. because i will bring to them with me. because every parent's love and a child, no matter how they want to live with you. and the challenges i faced during this is competition. there is very high competition in the market. but i still, but this things motivates me to focus and get a wide open path to achieving by goal."
audio_669.wav,2.0," today i am going to speak about the topic, name, crowded market. the market is always crowded with cars, horses, banks, and cameras and also cows. they came loaded with the produce of the season such as vegetables and cotton and fishes all in seed vegetables etc. whenever i visited the crowded market, i find the shouting loudly to sell the goods. they sell their goods by shouting loudly. they try to attract the people by several names. and they say, and they also speak about the type of the item they are selling and the price of the item. also, and how much amount it cost for kg or 3 liter also."
audio_1029.wav,2.0," i would like to go the sachi for the sachi soup. it is a very famous place in the mp and there a local food will be a good, a very best food like a bauaji and the lettuce. it is a like sandwich, you know, my must sandwich is the famous food of the sachi. and this is made by samrat ashok. they are the powerful emperor of india. its empire becomes over all the indian, after india. he will be established our empire to defeat the many kings and he after that he made us to called sachi soup for both the sals. it is established in the sachi."
audio_713.wav,2.0, there is someone to stole some fridayka's to the market and they hear the loud voice of the vendor shouting at the man. the consumers became scared in the rot.
audio_845.wav,2.5," the best idea of my life is my 10th results. it was may 14, 2019, i think it was may 14, 2019, 2019. i got 10 by 10 cgpa, but i didn't like it because i don't want to come back with others. my friends got 10 cgp only, but my parents are compared with all members. if they have got very much better than me, then it will scold me. otherwise, they will be very happy. and now only, if i got 8.9 cgp, but they come back with the toppers. they got 9.1 by 80, if i didn't get 9 cgp, then scold me. if i didn't get 10 cgp, then i would be very happy for sure. then i don't want to compare with others. calant describes you more. when you..."
audio_150.wav,2.0, or now if you're concerned about those
audio_764.wav,2.0,"ächiam yin yeru.<|th|>aá ningen souhaa tha in yeet ndo in any creative things or participating in any other activities. i generally interested in reading books or developing versions making it diverse and different from others, how we stand to follow trends in society. and also that advancing prediction and technology of this generation. thank you."
audio_1253.wav,2.5," now, if you read, please, it should be. it is simple. the event should be written by family, it is my family. and we have enjoyed it very lot. we have enjoyed it very lot. and the city is looked at very beautiful. and in the city, the goddess is the goddess of sai baba, sai baba. and we really enjoyed very nice day. and in the city, we visited, we have visited, also, a more famous like, sri shingala, puran and nasi, nasi. the shiva is located as a god. there is a famous, there is a famous called, power-bazi. and it is mostly famous for the, i like that, but very much. it is beautiful taste."
audio_1271.wav,2.0, my goal is i become an interpreter in the opinion here because i am not worker under anyone. i think to provide work to everyone because my education is not to work from under anyone. i try to provide work to everyone under and develop myself. providing work is very good to in the world because giving work is good help to everyone. this is my long term goal to become an end up in here. thank you.
audio_638.wav,2.5," we did editing, my goal is editing, i haven't decided in editing field. videos, my stuff is also reaches recently one name, it's so good."
audio_755.wav,2.0," my hobby is to enjoy the every movement of the life. whatever it may be, it may be sad, happy, or something else. every moment is precious for my first. so we need to enjoy every moment in our life. whatever it may be, the result. we should not think on the result. we should think on the process. how the process is going on? then it will automatically give you a smile on our face. and that is my ultimate goal. not thinking of too much of results. what will happen now tomorrow? they have to tomorrow. no. favorite hobby is to enjoy the every movement of life. and having smile on my face. that's it."
audio_950.wav,2.0, listen from the finger build only you can do here in schools mostly and also listen to the other classes they are how to tell dj's pay details on the so much.
audio_1232.wav,2.5," firmis cool crown was like a heaven where we brought all of us saras to a and tears into a happiness where we all of a friends and family of family members of our cousins we love for it because it was a beautiful place we hear the lobs of every children. now, i am a business school playground because i am in the college where i am busy with my academics and for me my favorite game was shethil, where i played with my brother in school and i am the shompian in the shethil i like the school playground and i am a business school playground nowadays too much and it was too good and those memories are too beautiful whenever i remember them and it was a good experience but i missed them."
